,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,更新日：2023年4月28日,,,
食　品　群,食　品　番　号,索　引　番　号,可　　食　　部　　 100　　g　　当　　た　　り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可　　食　　部　　 100　 g　　当　　た　　り,,,,,,,,,,,,,,,,,,,,,,,,,,,,備　　考,,,
,,,食　品　名,廃　棄　率,エネルギー,,水　分,たんぱく質,,脂質,,,炭水化物,,,,,,,,有機酸,"灰

分",無 機 質,,,,,,,,,,無機質,,,,ビ　　タ　　ミ　　ン　　,,,,,,,,,,,,,,,,,,,,,,アルコール,食塩相当量,,,,
,,,,,,,,"アミノ酸組成による
たんぱく質",たんぱく質,"脂肪酸の
トリアシルグリセロール当量",コレステロール,脂質,利用可能炭水化物,,,,,食物繊維総量,糖アルコール,炭水化物,,,ナ ト リ ウ ム,カ　リ　ウ　ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ　ン,鉄,亜　鉛,銅,マ　ン　ガ　ン,,ヨ　ウ　素,セ　レ　ン,ク　ロ　ム,モリブデン,ビタミンA,,,,,,      ビタミンD,ビタミンE,,,,ビタミンK,"ビ
タ
ミ
ン
Ｂ１","ビ
タ
ミ
ン
B２",ナイアシン,ナイアシン当量,"ビ
タ
ミ
ン
Ｂ６","ビ
タ
ミ
ン
Ｂ１２",葉　酸,パントテン酸,ビ オ チ ン,ビタミンC,,,,,,
,,,,,,,,,,,,,"利用可能炭水化物
（単糖当量）",,"利用可能炭水化物
（質量計）","差引き法による
利用可能炭水化物　",,,,,,,,,,,,,,,,,,,,,,,,,,レチノール活性当量,,α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,,,,,,,,,,,,,,,,,
17,17017,2310,＜調味料類＞　（食酢類）　果実酢　ぶどう酢,0,92,22,93.7,-,0.1,-,0,Tr,-,,-,1.2,*,0,-,1.2,4.8,0.2,4,22,3,2,8,0.2,Tr,0.01,0.03,,Tr,0,1,1,(0),Tr,Tr,-,Tr,(0),Tr,Tr,Tr,Tr,Tr,(Tr),Tr,Tr,Tr,Tr,Tr,0.1,Tr,0.08,0.1,Tr,-,0,別名： ワインビネガー、 ワイン酢,,,
17,17018,2311,＜調味料類＞　（食酢類）　果実酢　りんご酢,0,111,26,92.6,-,0.1,-,(0),0,(0.5),,(0.5),2.4,*,(0),-,2.4,4.7,0.2,18,59,4,4,6,0.2,0.1,Tr,-,,-,-,-,-,0,(0),0,(0),(0),(0),(Tr),-,-,-,-,Tr,0,0.01,0.1,0.1,0.01,0.3,0,0.06,-,0,-,0,別名： サイダービネガー,,,
17,17130,2312,＜調味料類＞　（だし類）　あごだし,0,2,0,99.8,Tr,0.1,-,0,0,-,,-,Tr,*,Tr,-,0,-,0.1,10,19,Tr,1,8,Tr,0,0,0,,1,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,Tr,0.1,Tr,0,0,0,-,0,"液状だし
2％のあごでとっただし",,,
17,17019,2313,＜調味料類＞　（だし類）　かつおだし　荒節,0,8,2,99.4,0.2,0.4,-,0,Tr,-,,-,0.2,*,0,-,0,-,0.1,21,29,2,3,18,Tr,Tr,Tr,0,,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0.01,1.4,1.4,0.02,0.4,0,0.04,0.1,0,-,0.1,"液状だし
3％の荒節でとっただし",,,
17,17131,2314,＜調味料類＞　（だし類）　かつおだし　本枯れ節,0,9,2,99.4,0.2,0.5,-,0,0,-,,-,0.3,*,0,-,Tr,-,0.1,21,32,Tr,3,18,Tr,Tr,0.01,0,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1.4,1.4,0.01,0.2,0,Tr,0,0,-,0.1,"液状だし
3％の本枯れ節でとっただし",,,
17,17020,2315,＜調味料類＞　（だし類）　昆布だし　水出し,0,17,4,98.5,(0.1),0.1,-,-,Tr,-,,-,0.9,*,-,-,0.9,-,0.5,61,140,3,4,6,Tr,Tr,Tr,0.01,,5300,0,0,0,(0),0,0,0,0,(0),-,0,0,0,0,0,Tr,Tr,Tr,(0),0,0,2,0,0.1,Tr,-,0.2,"液状だし
3％の真昆布でとっただし",,,
17,17132,2316,＜調味料類＞　（だし類）　昆布だし　煮出し,0,23,5,98.1,0.2,0.1,-,0,0,-,,-,1.1,*,0.1,-,1.3,-,0.5,73,160,5,8,4,Tr,0,0.01,0,,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0.01,Tr,Tr,Tr,0,1,0.01,0.1,0,-,0.2,"液状だし
3％の真昆布でとっただし",,,
17,17021,2317,＜調味料類＞　（だし類）　かつお・昆布だし　荒節・昆布だし,0,10,2,99.2,(0.2),0.3,-,-,Tr,-,,-,0.4,*,-,-,0.3,-,0.2,34,63,3,4,13,Tr,Tr,Tr,Tr,,1500,4,0,0,(Tr),0,0,0,0,(Tr),-,0,0,0,0,0,0.01,0.01,0.9,(0.9),0.01,0.3,1,0.04,0.1,Tr,-,0.1,"液状だし
2％の荒節と1％の真昆布でとっただし",,,
17,17148,2318,＜調味料類＞　（だし類）　かつお・昆布だし　本枯れ節・昆布だし,0,10,2,99.2,0.1,0.3,-,-,0,-,,-,0.5,*,Tr,-,0.4,-,0.2,30,58,1,3,11,Tr,Tr,Tr,0,,2900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0.7,0.8,0.01,0.1,Tr,Tr,0,0,-,0.1,"液状だし
2％の本枯れ節と1％の真昆布でとっただし",,,
17,17022,2319,＜調味料類＞　（だし類）　しいたけだし,0,17,4,98.8,-,0.1,-,-,0,-,,-,0.9,*,-,-,0.9,-,0.2,3,29,1,3,8,0.1,Tr,0.01,-,,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0.02,0.6,0.6,0.02,0,2,0.57,-,0,-,0,"液状だし
７％のしいたけでとっただし",,,
